Scenario,MeanTemp,MeanPrecip,Year,District
Ensemble_rcp85,11.6987971766062,1614.72162201095,2030,"Eugene District"
Ensemble_rcp85,13.1389945260731,1593.84946701239,2060,"Eugene District"
Ensemble_rcp85,14.7465211754538,1648.91688274273,2090,"Eugene District"
GFDLCM3_rcp45,10.173941227312,1645.04026217228,1990,"Eugene District"
GFDLCM3_rcp45,11.7204768078363,1680.90888792855,2030,"Eugene District"
GFDLCM3_rcp45,13.0021463555171,1657.78529242293,2060,"Eugene District"
GFDLCM3_rcp45,13.4600547392682,1706.94504465572,2090,"Eugene District"
GFDLCM3_rcp60,10.173941227312,1645.04026217228,1990,"Eugene District"
GFDLCM3_rcp60,11.762093056756,1733.25950734659,2030,"Eugene District"
GFDLCM3_rcp60,12.5807836358398,1668.28262748487,2060,"Eugene District"
GFDLCM3_rcp60,13.988619994238,1745.1834485739,2090,"Eugene District"
GFDLCM3_rcp85,10.173941227312,1645.04026217228,1990,"Eugene District"
GFDLCM3_rcp85,12.0041486603284,1591.21859694612,2030,"Eugene District"
GFDLCM3_rcp85,13.8775424949582,1689.78255545952,2060,"Eugene District"
GFDLCM3_rcp85,15.1958873523481,1663.35940651109,2090,"Eugene District"
HadGEM2ES_rcp45,10.173941227312,1645.04026217228,1990,"Eugene District"
HadGEM2ES_rcp45,11.5429703255546,1606.42019590896,2030,"Eugene District"
HadGEM2ES_rcp45,13.0657447421492,1650.99697493518,2060,"Eugene District"
HadGEM2ES_rcp45,13.5466292134831,1581.02722558341,2090,"Eugene District"
HadGEM2ES_rcp60,10.173941227312,1645.04026217228,1990,"Eugene District"
HadGEM2ES_rcp60,11.8139945260732,1633.62755690003,2030,"Eugene District"
HadGEM2ES_rcp60,12.4652693748199,1609.98912417171,2060,"Eugene District"
HadGEM2ES_rcp60,13.8390953615674,1770.21614808413,2090,"Eugene District"
HadGEM2ES_rcp85,10.173941227312,1645.04026217228,1990,"Eugene District"
HadGEM2ES_rcp85,12.1121362719677,1774.5111639297,2030,"Eugene District"
HadGEM2ES_rcp85,14.2475511380006,1540.71470757707,2060,"Eugene District"
HadGEM2ES_rcp85,15.866601843849,1654.34557764333,2090,"Eugene District"
CCSM4_rcp45,6.97503943217667,493.030362776025,1990,"Lakeview District"
CCSM4_rcp45,9.51967665615134,483.63880126183,2030,"Lakeview District"
CCSM4_rcp45,9.80838590956891,492.256440588854,2060,"Lakeview District"
CCSM4_rcp45,10.185212933754,476.513012618297,2090,"Lakeview District"
CCSM4_rcp60,6.97503943217667,493.030362776025,1990,"Lakeview District"
CCSM4_rcp60,8.73823606729754,489.700052576236,2030,"Lakeview District"
CCSM4_rcp60,9.72724763406939,473.850289169295,2060,"Lakeview District"
CCSM4_rcp60,10.0016430073606,535.028916929548,2090,"Lakeview District"
CCSM4_rcp85,6.97503943217667,493.030362776025,1990,"Lakeview District"
CCSM4_rcp85,8.97616982124073,555.694006309148,2030,"Lakeview District"
CCSM4_rcp85,10.2595820189274,472.436251314406,2060,"Lakeview District"
CCSM4_rcp85,12.2415483701368,513.115536277602,2090,"Lakeview District"
Ensemble_rcp45,6.97503943217667,493.030362776025,1990,"Lakeview District"
Ensemble_rcp45,8.72124079915874,467.944006309148,2030,"Lakeview District"
Ensemble_rcp45,9.80450841219768,478.307833859096,2060,"Lakeview District"
Ensemble_rcp45,10.1185199789696,473.978706624606,2090,"Lakeview District"
Ensemble_rcp60,6.97503943217667,493.030362776025,1990,"Lakeview District"
Ensemble_rcp60,8.3319137749737,484.072949526814,2030,"Lakeview District"
Ensemble_rcp60,9.48123028391164,466.73278128286,2060,"Lakeview District"
Ensemble_rcp60,10.6110672975816,493.943349106204,2090,"Lakeview District"
Ensemble_rcp85,6.97503943217667,493.030362776025,1990,"Lakeview District"
Ensemble_rcp85,8.83927444794958,478.249474237645,2030,"Lakeview District"
Ensemble_rcp85,10.5775499474238,467.660488958991,2060,"Lakeview District"
Ensemble_rcp85,12.3974237644585,491.06650893796,2090,"Lakeview District"
GFDLCM3_rcp45,6.97503943217667,493.030362776025,1990,"Lakeview District"
GFDLCM3_rcp45,9.05511303890643,496.119742376446,2030,"Lakeview District"
GFDLCM3_rcp45,10.4710436382755,492.223449001052,2060,"Lakeview District"
GFDLCM3_rcp45,10.9370136698212,495.723186119874,2090,"Lakeview District"
GFDLCM3_rcp60,6.97503943217667,493.030362776025,1990,"Lakeview District"
GFDLCM3_rcp60,8.98647476340691,509.193349106204,2030,"Lakeview District"
GFDLCM3_rcp60,10.0608438485804,475.495662460568,2060,"Lakeview District"
GFDLCM3_rcp60,11.6327287066247,483.485410094637,2090,"Lakeview District"
GFDLCM3_rcp85,6.97503943217667,493.030362776025,1990,"Lakeview District"
GFDLCM3_rcp85,9.43274185068351,477.325052576236,2030,"Lakeview District"
GFDLCM3_rcp85,11.4539826498422,508.055205047319,2060,"Lakeview District"
GFDLCM3_rcp85,13.3650236593058,469.385252365931,2090,"Lakeview District"
HadGEM2ES_rcp45,6.97503943217667,493.030362776025,1990,"Lakeview District"
HadGEM2ES_rcp45,8.66161934805464,442.357255520505,2030,"Lakeview District"
HadGEM2ES_rcp45,10.4547844374343,465.628680336488,2060,"Lakeview District"
HadGEM2ES_rcp45,11.0010120925341,449.593585699264,2090,"Lakeview District"
HadGEM2ES_rcp60,6.97503943217667,493.030362776025,1990,"Lakeview District"
HadGEM2ES_rcp60,8.79203470031563,516.345951629863,2030,"Lakeview District"
HadGEM2ES_rcp60,9.64217928496318,450.978838065195,2060,"Lakeview District"
HadGEM2ES_rcp60,11.2783123028392,510.434279705573,2090,"Lakeview District"
HadGEM2ES_rcp85,6.97503943217667,493.030362776025,1990,"Lakeview District"
HadGEM2ES_rcp85,9.24781808622513,522.889984227129,2030,"Lakeview District"
HadGEM2ES_rcp85,11.8015904311253,443.089773922187,2060,"Lakeview District"
HadGEM2ES_rcp85,13.5287723449001,492.719242902208,2090,"Lakeview District"
CCSM4_rcp45,9.91646119824105,980.795353448057,1990,"Medford District"
CCSM4_rcp45,12.1168653567525,940.307287562594,2030,"Medford District"
CCSM4_rcp45,12.2538166289621,976.566330291553,2060,"Medford District"
CCSM4_rcp45,12.6979410792811,946.099387407539,2090,"Medford District"
CCSM4_rcp60,9.91646119824105,980.795353448057,1990,"Medford District"
CCSM4_rcp60,11.3214026079662,944.355837421519,2030,"Medford District"
CCSM4_rcp60,12.2437101242978,939.238478940546,2060,"Medford District"
CCSM4_rcp60,12.5071197986834,1000.70748074528,2090,"Medford District"
CCSM4_rcp85,9.91646119824105,980.795353448057,1990,"Medford District"
CCSM4_rcp85,11.6416435779467,1108.77804326275,2030,"Medford District"
CCSM4_rcp85,12.6719580081849,880.138430644874,2060,"Medford District"
CCSM4_rcp85,14.5725909356651,937.417325436567,2090,"Medford District"
Ensemble_rcp45,9.91646119824105,980.795353448057,1990,"Medford District"
Ensemble_rcp45,11.3469052642281,943.40642078239,2030,"Medford District"
Ensemble_rcp45,12.3154851173075,958.222668462927,2060,"Medford District"
Ensemble_rcp45,12.6169390711979,953.150097862281,2090,"Medford District"
