year,district,climate,carbon,timber,standing,fire,owl,cost
2013,"Coos Bay District",CCSM4-rcp45,2285753.3391319,8708.015051246,1051322.67799877,2606.843209,4647.372309,298779.82992632
2013,"Eugene District",CCSM4-rcp45,1636510.3654205,20519.343787522,613074.779818642,2838.257743,2716.330933,794590.175233418
2013,"Lakeview District",CCSM4-rcp45,114225.379931,1668.784559984,31534.504121469,2551.871431,19.324047,14130.55713574
2013,"Medford District",CCSM4-rcp45,2886042.1083466,50395.049747525,1107782.88414291,7523.499024,9228.155872,1866272.96024434
2013,"Roseburg District",CCSM4-rcp45,2112814.1965598,19996.740803019,918567.122265751,3790.57854,5417.046665,698104.071463731
2013,"Salem District",CCSM4-rcp45,2265560.0257702,17264.643328948,906228.414273287,4541.078918,3871.740293,483957.069220886
2013,"Coos Bay District",CCSM4-rcp85,2279609.646088,14186.257216232,1045844.43583378,2593.324123,4585.762517,503885.501792066
2013,"Eugene District",CCSM4-rcp85,1644446.856592,13984.000680588,619610.122925577,2898.828259,2770.333393,464570.012070598
2013,"Lakeview District",CCSM4-rcp85,112671.515996,3782.882955639,29420.405725814,2549.98956,19.324047,38858.057132585
2013,"Medford District",CCSM4-rcp85,2915925.5700594,28896.572216454,1129281.36167398,7737.632154,9648.86575900001,945802.514745636
2013,"Roseburg District",CCSM4-rcp85,2108536.2535841,23458.470627991,915105.392440779,3578.545695,5466.564836,839046.738663145
2013,"Salem District",CCSM4-rcp85,2243282.5127874,34255.90197239,889237.155629844,4333.632945,3756.89303,915704.803561093
2013,"Coos Bay District",Ensemble-rcp45,2284836.2057114,9178.474538837,1050852.21851118,2628.301327,4610.470773,364883.070310161
2013,"Eugene District",Ensemble-rcp45,1637427.9240156,19111.996020185,614482.127585979,2855.332146,2759.248714,701276.217858328
2013,"Lakeview District",Ensemble-rcp45,114983.0044066,1066.629655747,32136.659025706,2521.145202,19.324047,11562.300912385
2013,"Medford District",Ensemble-rcp45,2911273.8265154,34774.979534167,1123402.95435626,7669.620348,9476.065226,1235543.54382326
2013,"Roseburg District",Ensemble-rcp45,2107250.8571319,25144.736672292,913419.126396478,3612.136609,5507.055908,897825.884210332
2013,"Salem District",Ensemble-rcp45,2248647.7829146,29319.7283231,894173.329279134,4267.598721,3809.868099,949058.883746233
2013,"Coos Bay District",Ensemble-rcp85,2281625.6272729,11799.980942058,1048230.71210796,2568.808841,4657.605812,456367.662319286
2013,"Eugene District",Ensemble-rcp85,1640358.4147581,17438.761796881,616155.361809283,2826.075881,2698.45131,653215.30493456
2013,"Lakeview District",Ensemble-rcp85,112732.628745,2004.571042216,31198.717639237,2714.622448,19.324047,19595.356817793
2013,"Medford District",Ensemble-rcp85,2901930.371216,36480.784144857,1121697.14974557,7472.748835,9435.565005,1070182.83845033
2013,"Roseburg District",Ensemble-rcp85,2108985.2333786,23097.760591129,915466.10247764,3798.909736,5494.94207,883458.700430201
2013,"Salem District",Ensemble-rcp85,2247041.1187274,27715.56791689,895777.489685344,4283.022213,3808.34387,829279.112991534
2013,"Coos Bay District",GFDLCM3-rcp45,2283913.0160171,10263.846585021,1049766.846465,2608.346738,4589.505724,430329.569790646
2013,"Eugene District",GFDLCM3-rcp45,1638813.4572307,18703.009977333,614891.113628831,2800.732168,2710.988628,720589.65843997
2013,"Lakeview District",GFDLCM3-rcp45,112345.4894971,2967.333103989,30235.955577464,2602.219932,19.324047,31961.300663461
2013,"Medford District",GFDLCM3-rcp45,2906786.5126515,35686.686223544,1122491.24766689,7502.394478,9412.920549,1350946.9878899
2013,"Roseburg District",GFDLCM3-rcp45,2107009.7157293,26106.392558318,912457.470510451,3806.923955,5386.1769,854486.449831472
2013,"Salem District",GFDLCM3-rcp45,2252928.5071116,24838.673317158,898654.384285077,4265.994098,3845.109131,779834.298639814
2013,"Coos Bay District",GFDLCM3-rcp85,2281042.7308917,13101.261725611,1046929.43132441,2619.275863,4638.498287,442212.931637725
2013,"Eugene District",GFDLCM3-rcp85,1647990.4322576,12245.094956891,621349.028649274,2849.278332,2715.601412,449162.350893471
2013,"Lakeview District",GFDLCM3-rcp85,112272.235954,3132.571408421,30070.717273032,2681.607747,19.324047,26213.09188836
2013,"Medford District",GFDLCM3-rcp85,2897334.3744507,40591.063087571,1117586.87080286,7540.949979,9485.309901,1331831.60504035
2013,"Roseburg District",GFDLCM3-rcp85,2108305.1992842,23220.603540738,915343.259528031,3700.848622,5455.097125,795547.587577848
2013,"Salem District",GFDLCM3-rcp85,2252224.7426075,26331.222557018,897161.835045216,4363.686076,3862.245833,778242.621170728
2013,"Coos Bay District",HadGEM2ES-rcp45,2283710.2782308,10463.993717845,1049566.69933217,2621.214934,4647.623507,380816.129695366
2013,"Eugene District",HadGEM2ES-rcp45,1644190.1597844,15691.685390862,617902.438215302,2833.41535,2693.467388,517965.775508281
2013,"Lakeview District",HadGEM2ES-rcp45,114142.3872072,1351.529691625,31851.758989828,2654.238935,0.0,13776.660501341
2013,"Medford District",HadGEM2ES-rcp45,2897063.3234055,41606.240496756,1116571.69339367,7597.620121,9303.392387,1318434.60988941
2013,"Roseburg District",HadGEM2ES-rcp45,2103043.6291646,29204.351771828,909359.511296941,3634.977686,5477.101363,974608.314847489
2013,"Salem District",HadGEM2ES-rcp45,2261152.3752489,20247.075302645,903245.98229959,4440.467102,3942.670346,595525.661200944
2013,"Coos Bay District",HadGEM2ES-rcp85,2286412.0491493,7282.288753609,1052748.40429641,2625.354871,4620.250362,241572.399631243
2013,"Eugene District",HadGEM2ES-rcp85,1648998.4864796,11027.452078862,622566.671527302,3074.263025,2739.629484,405957.585120412
2013,"Lakeview District",HadGEM2ES-rcp85,108192.0037665,3521.136358286,29682.152323167,2990.162209,19.324047,41029.4327515315
2013,"Medford District",HadGEM2ES-rcp85,2905808.2639025,32685.774270427,1125492.15962,7999.364325,9286.864836,993075.771659143
2013,"Roseburg District",HadGEM2ES-rcp85,2119069.5736538,14702.759983341,923861.103085428,3869.861,5508.360842,538524.541608953
2013,"Salem District",HadGEM2ES-rcp85,2218189.5999462,52274.172462904,871218.88513933,4301.009053,3590.813934,1872993.6097996
2013,"Coos Bay District",NoClimate,2279544.0412533,15025.667871474,1045005.02517854,2495.965455,4541.414997,527726.43840845
2013,"Eugene District",NoClimate,1640840.5885045,19045.875236828,614548.248369336,2902.829993,2714.986994,566649.850790394
2013,"Lakeview District",NoClimate,115755.8744905,1177.319591085,32025.969090368,2556.647191,19.324047,12724.564079339
2013,"Medford District",NoClimate,2921345.5773796,28004.777687299,1130173.15620313,7592.091411,9486.713938,883934.895624268
2013,"Roseburg District",NoClimate,2106697.9559683,26443.079705958,912120.783362811,3676.61298,5479.664702,1041680.97746741
2013,"Salem District",NoClimate,2253299.0592808,28864.343395068,894628.714207167,4701.510498,3802.46491,839716.501427687
2018,"Coos Bay District",CCSM4-rcp45,2368089.4934163,32269.592392183,1062589.21795518,2796.876038,4330.061478,1117413.1532453
2018,"Eugene District",CCSM4-rcp45,1738862.9216793,10698.458632555,663840.371350656,3914.967116,2740.402374,320039.605219612
2018,"Lakeview District",CCSM4-rcp45,119267.9214781,489.004513363,24118.690167438,929.740688,0.0,5484.180086023
2018,"Medford District",CCSM4-rcp45,3008729.0703281,31151.355273386,1129551.99023591,6174.250275,9494.493876,1121425.05974014
2018,"Roseburg District",CCSM4-rcp45,2214300.3636281,12385.807440442,964599.242422441,3075.877031,5619.946404,377694.68824357
2018,"Salem District",CCSM4-rcp45,2374834.4857995,31599.621532537,951238.397742719,5059.066323,3698.958704,868481.710251175
2018,"Coos Bay District",CCSM4-rcp85,2358511.742192,32727.529975499,1058520.47388895,2830.544512,4265.091181,1192088.86649535
2018,"Eugene District",CCSM4-rcp85,1750156.7520738,10590.693876971,671127.80326581,3993.007409,2800.2299,297438.577629409
2018,"Lakeview District",CCSM4-rcp85,119229.3571712,1346.312191974,32317.700546881,1093.484445,19.324047,20330.166765507
2018,"Medford District",CCSM4-rcp85,3073612.1885299,25888.171311593,1187252.39708445,6682.388531,10331.037294,916428.322259852
2018,"Roseburg District",CCSM4-rcp85,2207930.4452204,14585.157784846,959551.905117588,2847.547022,5705.826739,496693.561222336
2018,"Salem District",CCSM4-rcp85,2349162.458111,33409.129603825,931461.668772866,5581.116949,3705.658337,892905.914968344
2018,"Coos Bay District",Ensemble-rcp45,2361671.602299,38651.254141105,1056840.89225675,2853.41569,4161.763488,1450125.8267839
2018,"Eugene District",Ensemble-rcp45,1745538.2433261,9176.784008101,667440.341216203,3801.224343,2821.161084,235519.813874485
2018,"Lakeview District",Ensemble-rcp45,120611.4248854,404.377172147,25788.23081992,1017.865,0.0,6472.795724578
2018,"Medford District",Ensemble-rcp45,3055217.2930765,30553.494135429,1150467.42097417,6192.863063,10075.973726,1084310.33590432
2018,"Roseburg District",Ensemble-rcp45,2211139.3239308,13705.486957226,959684.678433404,2924.287535,5684.476911,456935.326884635
2018,"Salem District",Ensemble-rcp45,2365575.0611912,26058.880938478,945046.959396702,5127.546915,3734.184834,657907.632042523
2018,"Coos Bay District",Ensemble-rcp85,2360011.1652433,36290.189619219,1057038.75973609,2795.312715,4204.848644,1379949.91881319
2018,"Eugene District",Ensemble-rcp85,1742889.9818567,13244.990192745,664953.158545428,3950.425522,2710.817361,334004.915950685
2018,"Lakeview District",Ensemble-rcp85,118783.2045493,526.176161948,27968.601143964,992.444848,0.0,11368.022218516
2018,"Medford District",Ensemble-rcp85,3044740.8723422,29596.207552913,1153160.16871434,6315.23989,10027.138377,1147051.76343783
2018,"Roseburg District",Ensemble-rcp85,2212312.4275882,12133.331217061,962642.107815788,3214.2274,5698.03693,454456.369938819
2018,"Salem District",Ensemble-rcp85,2362905.1757491,26776.696429655,945112.132027553,5108.865826,3654.513052,657720.198154653
2018,"Coos Bay District",GFDLCM3-rcp45,2368005.6354007,30776.305302568,1063777.96644638,2852.422376,4230.925528,1104060.06703518
2018,"Eugene District",GFDLCM3-rcp45,1742369.0183963,11548.423185112,665605.407389312,3823.327715,2791.680755,294188.816200746
2018,"Lakeview District",GFDLCM3-rcp45,118027.417949,1587.672368513,31750.402802049,1034.984299,19.324047,24871.881768376
2018,"Medford District",GFDLCM3-rcp45,3059605.8167822,27158.990064491,1175768.26375049,6409.441266,10210.912112,907503.947881656
2018,"Roseburg District",GFDLCM3-rcp45,2211037.7042069,13086.034478337,959966.204000162,3196.477299,5625.362463,436389.677714925
2018,"Salem District",GFDLCM3-rcp45,2359056.225291,34540.676433724,940780.027704028,5200.280065,3689.773184,926892.374539643
2018,"Coos Bay District",GFDLCM3-rcp85,2360425.3558746,32934.007822496,1059266.05637364,2788.503259,4271.861173,1163458.88559271
