year,district,climate,carbon
2018,"Roseburg District",Ensemble-rcp85,2266110.6863067
2018,"Roseburg District",GFDLCM3-rcp45,2266108.816847
2018,"Roseburg District",GFDLCM3-rcp85,2265463.4025115
2018,"Roseburg District",HadGEM2ES-rcp45,2265618.7011753
2018,"Roseburg District",HadGEM2ES-rcp85,2262486.6989602
2018,"Roseburg District",NoClimate,2271469.4066724
2018,"Salem District",CCSM4-rcp45,2446044.140554
2018,"Salem District",CCSM4-rcp85,2448327.1513802
2018,"Salem District",Ensemble-rcp45,2450389.8528191
2018,"Salem District",Ensemble-rcp85,2449506.4652834
2018,"Salem District",GFDLCM3-rcp45,2450937.0387834
2018,"Salem District",GFDLCM3-rcp85,2449789.8555966
2018,"Salem District",HadGEM2ES-rcp45,2448881.1892708
2018,"Salem District",HadGEM2ES-rcp85,2445925.4703308
2018,"Salem District",NoClimate,2452685.2781586
2023,"Coos Bay District",CCSM4-rcp45,2570788.6248052
2023,"Coos Bay District",CCSM4-rcp85,2563834.8549757
2023,"Coos Bay District",Ensemble-rcp45,2573445.468177
2023,"Coos Bay District",Ensemble-rcp85,2572382.5585617
2023,"Coos Bay District",GFDLCM3-rcp45,2566239.2158409
2023,"Coos Bay District",GFDLCM3-rcp85,2564116.0239037
2023,"Coos Bay District",HadGEM2ES-rcp45,2569528.5858405
2023,"Coos Bay District",HadGEM2ES-rcp85,2562138.8565703
2023,"Coos Bay District",NoClimate,2592526.8982148
2023,"Eugene District",CCSM4-rcp45,1942420.7095836
2023,"Eugene District",CCSM4-rcp85,1944836.7764806
2023,"Eugene District",Ensemble-rcp45,1949563.1375292
2023,"Eugene District",Ensemble-rcp85,1948581.8953712
2023,"Eugene District",GFDLCM3-rcp45,1946724.0118862
2023,"Eugene District",GFDLCM3-rcp85,1942969.679688
2023,"Eugene District",HadGEM2ES-rcp45,1947285.8953229
2023,"Eugene District",HadGEM2ES-rcp85,1939205.49624
2023,"Eugene District",NoClimate,1960132.0312919
2023,"Lakeview District",CCSM4-rcp45,130155.6836393
2023,"Lakeview District",CCSM4-rcp85,140019.6613156
2023,"Lakeview District",Ensemble-rcp45,131232.4832658
2023,"Lakeview District",Ensemble-rcp85,133239.0414981
2023,"Lakeview District",GFDLCM3-rcp45,138553.3704045
2023,"Lakeview District",GFDLCM3-rcp85,138291.3984408
2023,"Lakeview District",HadGEM2ES-rcp45,129075.5449411
2023,"Lakeview District",HadGEM2ES-rcp85,129633.6998568
2023,"Lakeview District",NoClimate,132432.9088668
2023,"Medford District",CCSM4-rcp45,3303566.6868603
2023,"Medford District",CCSM4-rcp85,3380425.7080628
2023,"Medford District",Ensemble-rcp45,3352192.1465921
2023,"Medford District",Ensemble-rcp85,3353143.1853412
2023,"Medford District",GFDLCM3-rcp45,3367282.40848029
2023,"Medford District",GFDLCM3-rcp85,3361424.3014699
2023,"Medford District",HadGEM2ES-rcp45,3325733.5186304
2023,"Medford District",HadGEM2ES-rcp85,3337517.73865689
2023,"Medford District",NoClimate,3367322.29914159
2023,"Roseburg District",CCSM4-rcp45,2402846.6496558
2023,"Roseburg District",CCSM4-rcp85,2406799.8785595
2023,"Roseburg District",Ensemble-rcp45,2413029.91853
2023,"Roseburg District",Ensemble-rcp85,2411737.0990842
2023,"Roseburg District",GFDLCM3-rcp45,2410519.3296688
2023,"Roseburg District",GFDLCM3-rcp85,2408467.1011563
2023,"Roseburg District",HadGEM2ES-rcp45,2409706.3930635
2023,"Roseburg District",HadGEM2ES-rcp85,2402451.4772198
2023,"Roseburg District",NoClimate,2426071.7508117
2023,"Salem District",CCSM4-rcp45,2625235.9652213
2023,"Salem District",CCSM4-rcp85,2630076.6787908
2023,"Salem District",Ensemble-rcp45,2636864.7209007
2023,"Salem District",Ensemble-rcp85,2634666.0926184
2023,"Salem District",GFDLCM3-rcp45,2637306.7008124
2023,"Salem District",GFDLCM3-rcp85,2632917.0269517
2023,"Salem District",HadGEM2ES-rcp45,2632732.527217
2023,"Salem District",HadGEM2ES-rcp85,2623400.19290299
2023,"Salem District",NoClimate,2644429.1553161
2028,"Coos Bay District",CCSM4-rcp45,2716297.5005636
2028,"Coos Bay District",CCSM4-rcp85,2703797.6362417
2028,"Coos Bay District",Ensemble-rcp45,2723973.0302943
2028,"Coos Bay District",Ensemble-rcp85,2721930.3038821
2028,"Coos Bay District",GFDLCM3-rcp45,2708651.2520974
2028,"Coos Bay District",GFDLCM3-rcp85,2703689.4259694
2028,"Coos Bay District",HadGEM2ES-rcp45,2715674.7609764
2028,"Coos Bay District",HadGEM2ES-rcp85,2701212.7158834
2028,"Coos Bay District",NoClimate,2760005.7182736
2028,"Eugene District",CCSM4-rcp45,2095073.7258923
2028,"Eugene District",CCSM4-rcp85,2096241.5150051
2028,"Eugene District",Ensemble-rcp45,2107280.0161707
2028,"Eugene District",Ensemble-rcp85,2105474.8107011
2028,"Eugene District",GFDLCM3-rcp45,2100173.6835614
2028,"Eugene District",GFDLCM3-rcp85,2092315.5559558
2028,"Eugene District",HadGEM2ES-rcp45,2102293.1590731
2028,"Eugene District",HadGEM2ES-rcp85,2086082.9358836
2028,"Eugene District",NoClimate,2127725.5071501
2028,"Lakeview District",CCSM4-rcp45,144051.1452216
2028,"Lakeview District",CCSM4-rcp85,159697.1083238
2028,"Lakeview District",Ensemble-rcp45,145701.6368296
2028,"Lakeview District",Ensemble-rcp85,148086.9145432
2028,"Lakeview District",GFDLCM3-rcp45,156161.3927452
2028,"Lakeview District",GFDLCM3-rcp85,155590.2068742
2028,"Lakeview District",HadGEM2ES-rcp45,141042.5292237
2028,"Lakeview District",HadGEM2ES-rcp85,141898.1598108
2028,"Lakeview District",NoClimate,150110.5790551
2028,"Medford District",CCSM4-rcp45,3446808.2331577
2028,"Medford District",CCSM4-rcp85,3607467.506033
2028,"Medford District",Ensemble-rcp45,3558465.4015205
2028,"Medford District",Ensemble-rcp85,3558921.5784786
2028,"Medford District",GFDLCM3-rcp45,3583766.6709747
2028,"Medford District",GFDLCM3-rcp85,3569929.3839036
2028,"Medford District",HadGEM2ES-rcp45,3496583.11237001
2028,"Medford District",HadGEM2ES-rcp85,3524291.78565
2028,"Medford District",NoClimate,3593592.1379764
2028,"Roseburg District",CCSM4-rcp45,2540735.3518114
2028,"Roseburg District",CCSM4-rcp85,2549300.1221679
2028,"Roseburg District",Ensemble-rcp45,2561745.1542416
2028,"Roseburg District",Ensemble-rcp85,2559290.7715675
2028,"Roseburg District",GFDLCM3-rcp45,2556058.1901873
2028,"Roseburg District",GFDLCM3-rcp85,2551749.4543704
2028,"Roseburg District",HadGEM2ES-rcp45,2554764.8744552
2028,"Roseburg District",HadGEM2ES-rcp85,2540728.9826037
2028,"Roseburg District",NoClimate,2588320.2346848
2028,"Salem District",CCSM4-rcp45,2801123.0488554
2028,"Salem District",CCSM4-rcp85,2809792.987279
2028,"Salem District",Ensemble-rcp45,2825879.5956225
2028,"Salem District",Ensemble-rcp85,2821642.568585
2028,"Salem District",GFDLCM3-rcp45,2825226.5613444
2028,"Salem District",GFDLCM3-rcp85,2815501.2392132
2028,"Salem District",HadGEM2ES-rcp45,2817108.6470836
2028,"Salem District",HadGEM2ES-rcp85,2794700.5486683
2028,"Salem District",NoClimate,2843255.3333703
2033,"Coos Bay District",CCSM4-rcp45,2848948.1733105
2033,"Coos Bay District",CCSM4-rcp85,2834657.5487631
2033,"Coos Bay District",Ensemble-rcp45,2867099.9007292
2033,"Coos Bay District",Ensemble-rcp85,2864005.7199001
2033,"Coos Bay District",GFDLCM3-rcp45,2841346.0423838
2033,"Coos Bay District",GFDLCM3-rcp85,2833206.5086934
2033,"Coos Bay District",HadGEM2ES-rcp45,2853674.4713808
2033,"Coos Bay District",HadGEM2ES-rcp85,2830891.5179181
2033,"Coos Bay District",NoClimate,2924938.1653321
2033,"Eugene District",CCSM4-rcp45,2241776.7942598
2033,"Eugene District",CCSM4-rcp85,2239959.9288815
2033,"Eugene District",Ensemble-rcp45,2259434.0500656
2033,"Eugene District",Ensemble-rcp85,2256578.4423505
2033,"Eugene District",GFDLCM3-rcp45,2246575.4343531
2033,"Eugene District",GFDLCM3-rcp85,2233613.1181044
2033,"Eugene District",HadGEM2ES-rcp45,2251219.7539246
2033,"Eugene District",HadGEM2ES-rcp85,2225009.0972191
2033,"Eugene District",NoClimate,2293054.8388897
2033,"Lakeview District",CCSM4-rcp45,163072.0929891
2033,"Lakeview District",CCSM4-rcp85,184607.3813384
2033,"Lakeview District",Ensemble-rcp45,165952.7383662
2033,"Lakeview District",Ensemble-rcp85,168257.9724263
2033,"Lakeview District",GFDLCM3-rcp45,177955.6583279
2033,"Lakeview District",GFDLCM3-rcp85,177087.9229661
2033,"Lakeview District",HadGEM2ES-rcp45,157698.9615908
