year,climate,fortype,acres
2013,GFDLCM3-rcp45,202,19.127166
2013,GFDLCM3-rcp45,221,3324.041458
2013,GFDLCM3-rcp45,222,534.901374
2013,GFDLCM3-rcp45,224,553.668691
2013,GFDLCM3-rcp45,241,42.922636
2013,GFDLCM3-rcp45,261,396.810088
2013,GFDLCM3-rcp45,262,472.049386
2013,GFDLCM3-rcp45,264,281.282497
2013,GFDLCM3-rcp45,267,2118.913472
2013,GFDLCM3-rcp45,268,98.475754
2013,GFDLCM3-rcp45,281,39.198955
2013,GFDLCM3-rcp45,301,2141.680526
2013,GFDLCM3-rcp45,304,416.06011
2013,GFDLCM3-rcp45,305,42.624791
2013,GFDLCM3-rcp45,361,39.998745
2013,GFDLCM3-rcp45,702,9.058504
2013,GFDLCM3-rcp45,704,19.475418
2013,GFDLCM3-rcp45,709,23.912717
2013,GFDLCM3-rcp45,901,14.584527
2013,GFDLCM3-rcp45,911,4566.223966
2013,GFDLCM3-rcp45,912,1235.302636
2013,GFDLCM3-rcp45,922,1142.500538
2013,GFDLCM3-rcp45,923,5394.480598
2013,GFDLCM3-rcp45,932,2151.182212
2013,GFDLCM3-rcp45,941,2750.12351
2013,GFDLCM3-rcp45,943,993.880692
2013,GFDLCM3-rcp45,951,5982.007099
2013,GFDLCM3-rcp45,997,607.02252
2013,GFDLCM3-rcp45,998,473.383004
2013,GFDLCM3-rcp45,999,5674.355559
2013,GFDLCM3-rcp85,183,2353.484708
2013,GFDLCM3-rcp85,201,78406.522723
2013,GFDLCM3-rcp85,202,19.127166
2013,GFDLCM3-rcp85,221,3324.041458
2013,GFDLCM3-rcp85,222,534.901374
2013,GFDLCM3-rcp85,224,553.668691
2013,GFDLCM3-rcp85,241,42.922636
2013,GFDLCM3-rcp85,261,396.810088
2013,GFDLCM3-rcp85,262,472.049386
2013,GFDLCM3-rcp85,264,281.282497
2013,GFDLCM3-rcp85,267,2118.913472
2013,GFDLCM3-rcp85,268,98.475754
2013,GFDLCM3-rcp85,281,39.198955
2013,GFDLCM3-rcp85,301,2141.680526
2013,GFDLCM3-rcp85,304,416.06011
2013,GFDLCM3-rcp85,305,42.624791
2013,GFDLCM3-rcp85,361,39.998745
2013,GFDLCM3-rcp85,702,9.058504
2013,GFDLCM3-rcp85,704,19.475418
2013,GFDLCM3-rcp85,709,23.912717
2013,GFDLCM3-rcp85,901,14.584527
2013,GFDLCM3-rcp85,911,4566.223966
2013,GFDLCM3-rcp85,912,1235.302636
2013,GFDLCM3-rcp85,922,1142.500538
2013,GFDLCM3-rcp85,923,5394.480598
2013,GFDLCM3-rcp85,932,2151.182212
2013,GFDLCM3-rcp85,941,2750.12351
2013,GFDLCM3-rcp85,943,993.880692
2013,GFDLCM3-rcp85,951,5982.007099
2013,GFDLCM3-rcp85,997,607.02252
2013,GFDLCM3-rcp85,998,473.383004
2013,GFDLCM3-rcp85,999,5674.355559
2013,HadGEM2ES-rcp45,183,2353.484708
2013,HadGEM2ES-rcp45,201,78406.522723
2013,HadGEM2ES-rcp45,202,19.127166
2013,HadGEM2ES-rcp45,221,3324.041458
2013,HadGEM2ES-rcp45,222,534.901374
2013,HadGEM2ES-rcp45,224,553.668691
2013,HadGEM2ES-rcp45,241,42.922636
2013,HadGEM2ES-rcp45,261,396.810088
2013,HadGEM2ES-rcp45,262,472.049386
2013,HadGEM2ES-rcp45,264,281.282497
2013,HadGEM2ES-rcp45,267,2118.913472
2013,HadGEM2ES-rcp45,268,98.475754
2013,HadGEM2ES-rcp45,281,39.198955
2013,HadGEM2ES-rcp45,301,2141.680526
2013,HadGEM2ES-rcp45,304,416.06011
2013,HadGEM2ES-rcp45,305,42.624791
2013,HadGEM2ES-rcp45,361,39.998745
2013,HadGEM2ES-rcp45,702,9.058504
2013,HadGEM2ES-rcp45,704,19.475418
2013,HadGEM2ES-rcp45,709,23.912717
2013,HadGEM2ES-rcp45,901,14.584527
2013,HadGEM2ES-rcp45,911,4566.223966
2013,HadGEM2ES-rcp45,912,1235.302636
2013,HadGEM2ES-rcp45,922,1142.500538
2013,HadGEM2ES-rcp45,923,5394.480598
2013,HadGEM2ES-rcp45,932,2151.182212
2013,HadGEM2ES-rcp45,941,2750.12351
2013,HadGEM2ES-rcp45,943,993.880692
2013,HadGEM2ES-rcp45,951,5982.007099
2013,HadGEM2ES-rcp45,997,607.02252
2013,HadGEM2ES-rcp45,998,473.383004
2013,HadGEM2ES-rcp45,999,5674.355559
2013,HadGEM2ES-rcp85,183,2353.484708
2013,HadGEM2ES-rcp85,201,78406.522723
2013,HadGEM2ES-rcp85,202,19.127166
2013,HadGEM2ES-rcp85,221,3324.041458
2013,HadGEM2ES-rcp85,222,534.901374
2013,HadGEM2ES-rcp85,224,553.668691
2013,HadGEM2ES-rcp85,241,42.922636
2013,HadGEM2ES-rcp85,261,396.810088
2013,HadGEM2ES-rcp85,262,472.049386
2013,HadGEM2ES-rcp85,264,281.282497
2013,HadGEM2ES-rcp85,267,2118.913472
2013,HadGEM2ES-rcp85,268,98.475754
2013,HadGEM2ES-rcp85,281,39.198955
2013,HadGEM2ES-rcp85,301,2141.680526
2013,HadGEM2ES-rcp85,304,416.06011
2013,HadGEM2ES-rcp85,305,42.624791
2013,HadGEM2ES-rcp85,361,39.998745
2013,HadGEM2ES-rcp85,702,9.058504
2013,HadGEM2ES-rcp85,704,19.475418
2013,HadGEM2ES-rcp85,709,23.912717
2013,HadGEM2ES-rcp85,901,14.584527
2013,HadGEM2ES-rcp85,911,4566.223966
2013,HadGEM2ES-rcp85,912,1235.302636
2013,HadGEM2ES-rcp85,922,1142.500538
2013,HadGEM2ES-rcp85,923,5394.480598
2013,HadGEM2ES-rcp85,932,2151.182212
2013,HadGEM2ES-rcp85,941,2750.12351
2013,HadGEM2ES-rcp85,943,993.880692
2013,HadGEM2ES-rcp85,951,5982.007099
2013,HadGEM2ES-rcp85,997,607.02252
2013,HadGEM2ES-rcp85,998,473.383004
2013,HadGEM2ES-rcp85,999,5674.355559
2013,NoClimate,183,2353.484708
2013,NoClimate,201,78406.522723
2013,NoClimate,202,19.127166
2013,NoClimate,221,3324.041458
2013,NoClimate,222,534.901374
2013,NoClimate,224,553.668691
2013,NoClimate,241,42.922636
2013,NoClimate,261,396.810088
2013,NoClimate,262,472.049386
2013,NoClimate,264,281.282497
2013,NoClimate,267,2118.913472
2013,NoClimate,268,98.475754
2013,NoClimate,281,39.198955
2013,NoClimate,301,2141.680526
2013,NoClimate,304,416.06011
2013,NoClimate,305,42.624791
2013,NoClimate,361,39.998745
2013,NoClimate,702,9.058504
2013,NoClimate,704,19.475418
2013,NoClimate,709,23.912717
2013,NoClimate,901,14.584527
2013,NoClimate,911,4566.223966
2013,NoClimate,912,1235.302636
2013,NoClimate,922,1142.500538
2013,NoClimate,923,5394.480598
2013,NoClimate,932,2151.182212
2013,NoClimate,941,2750.12351
2013,NoClimate,943,993.880692
2013,NoClimate,951,5982.007099
2013,NoClimate,997,607.02252
2013,NoClimate,998,473.383004
2013,NoClimate,999,5674.355559
2018,CCSM4-rcp45,183,3639.117478
2018,CCSM4-rcp45,201,81409.676073
2018,CCSM4-rcp45,202,45.057329
2018,CCSM4-rcp45,221,4507.061606
2018,CCSM4-rcp45,222,541.805846
2018,CCSM4-rcp45,224,547.534966
2018,CCSM4-rcp45,241,73.046263
2018,CCSM4-rcp45,261,402.544083
2018,CCSM4-rcp45,262,320.964465
2018,CCSM4-rcp45,264,292.957767
2018,CCSM4-rcp45,267,744.406033
2018,CCSM4-rcp45,268,72.005217
2018,CCSM4-rcp45,281,49.074073
2018,CCSM4-rcp45,301,2304.083694
2018,CCSM4-rcp45,304,377.689964
2018,CCSM4-rcp45,305,18.563915
2018,CCSM4-rcp45,361,39.998745
2018,CCSM4-rcp45,702,5.073711
2018,CCSM4-rcp45,704,19.475418
2018,CCSM4-rcp45,709,137.107863
2018,CCSM4-rcp45,722,33.841407
2018,CCSM4-rcp45,911,4770.249725
2018,CCSM4-rcp45,912,1150.333391
2018,CCSM4-rcp45,922,1106.810501
2018,CCSM4-rcp45,923,5350.253097
2018,CCSM4-rcp45,932,2221.90694
2018,CCSM4-rcp45,941,2915.817271
2018,CCSM4-rcp45,943,789.774662
2018,CCSM4-rcp45,951,5419.324283
2018,CCSM4-rcp45,997,475.03866
2018,CCSM4-rcp45,998,365.982238
2018,CCSM4-rcp45,999,2172.679896
2018,CCSM4-rcp85,183,3625.669959
2018,CCSM4-rcp85,201,81251.171029
2018,CCSM4-rcp85,202,45.057329
2018,CCSM4-rcp85,221,4260.790579
2018,CCSM4-rcp85,222,459.695182
2018,CCSM4-rcp85,224,621.730554
2018,CCSM4-rcp85,241,73.046263
2018,CCSM4-rcp85,261,434.845533
2018,CCSM4-rcp85,262,290.872627
2018,CCSM4-rcp85,264,400.87485
2018,CCSM4-rcp85,267,2047.665394
2018,CCSM4-rcp85,268,72.005217
2018,CCSM4-rcp85,281,82.31916
2018,CCSM4-rcp85,301,2030.509932
2018,CCSM4-rcp85,304,377.689964
2018,CCSM4-rcp85,305,18.563915
2018,CCSM4-rcp85,361,39.998745
2018,CCSM4-rcp85,704,19.475418
2018,CCSM4-rcp85,709,107.488341
2018,CCSM4-rcp85,911,4656.491177
2018,CCSM4-rcp85,912,1248.635076
2018,CCSM4-rcp85,922,1028.687539
2018,CCSM4-rcp85,923,5468.907109
2018,CCSM4-rcp85,932,2102.306147
2018,CCSM4-rcp85,941,2954.455748
2018,CCSM4-rcp85,942,39.998745
2018,CCSM4-rcp85,943,757.407476
2018,CCSM4-rcp85,951,5197.638704
2018,CCSM4-rcp85,997,467.630856
2018,CCSM4-rcp85,998,387.209435
2018,CCSM4-rcp85,999,1750.418577
2018,Ensemble-rcp45,183,3762.938673
2018,Ensemble-rcp45,201,81869.83727
2018,Ensemble-rcp45,202,45.057329
2018,Ensemble-rcp45,221,4472.852988
2018,Ensemble-rcp45,222,544.310366
2018,Ensemble-rcp45,224,618.809122
2018,Ensemble-rcp45,241,73.046263
2018,Ensemble-rcp45,261,434.845533
2018,Ensemble-rcp45,262,335.538906
2018,Ensemble-rcp45,264,363.823022
2018,Ensemble-rcp45,267,870.905184
2018,Ensemble-rcp45,268,72.005217
2018,Ensemble-rcp45,281,49.074073
2018,Ensemble-rcp45,301,2155.508831
2018,Ensemble-rcp45,304,377.689964
2018,Ensemble-rcp45,305,18.563915
2018,Ensemble-rcp45,361,39.998745
2018,Ensemble-rcp45,704,19.475418
2018,Ensemble-rcp45,709,98.178726
2018,Ensemble-rcp45,722,33.841407
2018,Ensemble-rcp45,911,4759.280845
2018,Ensemble-rcp45,912,1072.437504
2018,Ensemble-rcp45,922,1013.404053
2018,Ensemble-rcp45,923,5545.144486
2018,Ensemble-rcp45,932,2131.194843
2018,Ensemble-rcp45,941,2743.616987
2018,Ensemble-rcp45,943,796.867649
2018,Ensemble-rcp45,951,5318.485818
2018,Ensemble-rcp45,997,467.630856
2018,Ensemble-rcp45,998,365.982238
2018,Ensemble-rcp45,999,1848.910349
2018,Ensemble-rcp85,183,3732.192063
2018,Ensemble-rcp85,201,81761.547643
2018,Ensemble-rcp85,202,45.057329
2018,Ensemble-rcp85,221,4388.396538
2018,Ensemble-rcp85,222,555.360282
2018,Ensemble-rcp85,224,617.007452
2018,Ensemble-rcp85,241,73.046263
2018,Ensemble-rcp85,261,434.845533
2018,Ensemble-rcp85,262,273.06745
2018,Ensemble-rcp85,264,333.401768
2018,Ensemble-rcp85,267,1092.414364
2018,Ensemble-rcp85,268,72.005217
2018,Ensemble-rcp85,281,49.074073
2018,Ensemble-rcp85,301,2249.767316
2018,Ensemble-rcp85,304,377.689964
2018,Ensemble-rcp85,305,18.563915
2018,Ensemble-rcp85,361,39.998745
2018,Ensemble-rcp85,704,19.475418
2018,Ensemble-rcp85,709,98.178726
2018,Ensemble-rcp85,722,33.841407
2018,Ensemble-rcp85,911,4738.053648
2018,Ensemble-rcp85,912,1109.667791
2018,Ensemble-rcp85,922,981.979449
2018,Ensemble-rcp85,923,5540.551968
2018,Ensemble-rcp85,932,2070.153067
2018,Ensemble-rcp85,941,2710.725247
2018,Ensemble-rcp85,943,757.407476
2018,Ensemble-rcp85,951,5315.978797
2018,Ensemble-rcp85,997,467.630856
2018,Ensemble-rcp85,998,387.209435
2018,Ensemble-rcp85,999,1974.96738
2018,GFDLCM3-rcp45,183,3695.626099
2018,GFDLCM3-rcp45,201,81409.775585
2018,GFDLCM3-rcp45,202,45.057329
2018,GFDLCM3-rcp45,221,4221.530646
2018,GFDLCM3-rcp45,222,555.350042
2018,GFDLCM3-rcp45,224,621.730554
2018,GFDLCM3-rcp45,241,73.046263
2018,GFDLCM3-rcp45,261,434.845533
2018,GFDLCM3-rcp45,262,165.479315
2018,GFDLCM3-rcp45,264,405.171921
2018,GFDLCM3-rcp45,267,1948.644288
2018,GFDLCM3-rcp45,268,72.005217
2018,GFDLCM3-rcp45,281,49.074073
2018,GFDLCM3-rcp45,301,2074.011481
2018,GFDLCM3-rcp45,304,377.689964
2018,GFDLCM3-rcp45,305,18.563915
2018,GFDLCM3-rcp45,361,39.998745
2018,GFDLCM3-rcp45,704,19.475418
2018,GFDLCM3-rcp45,709,104.659668
2018,GFDLCM3-rcp45,722,48.131697
2018,GFDLCM3-rcp45,911,4708.662569
2018,GFDLCM3-rcp45,912,1082.950414
2018,GFDLCM3-rcp45,922,1051.969249
2018,GFDLCM3-rcp45,923,5428.503604
2018,GFDLCM3-rcp45,932,2129.160883
2018,GFDLCM3-rcp45,941,2797.919849
2018,GFDLCM3-rcp45,943,831.922255
2018,GFDLCM3-rcp45,951,5188.033579
2018,GFDLCM3-rcp45,997,467.630856
2018,GFDLCM3-rcp45,998,365.982238
2018,GFDLCM3-rcp45,999,1886.653331
2018,GFDLCM3-rcp85,183,3506.527088
2018,GFDLCM3-rcp85,201,81285.578914
2018,GFDLCM3-rcp85,202,45.057329
2018,GFDLCM3-rcp85,221,4365.399026
2018,GFDLCM3-rcp85,222,518.941703
2018,GFDLCM3-rcp85,224,621.730554
2018,GFDLCM3-rcp85,241,73.046263
2018,GFDLCM3-rcp85,261,439.020486
2018,GFDLCM3-rcp85,262,205.47806
2018,GFDLCM3-rcp85,264,400.87485
2018,GFDLCM3-rcp85,267,1878.749481
2018,GFDLCM3-rcp85,268,72.005217
2018,GFDLCM3-rcp85,281,49.074073
2018,GFDLCM3-rcp85,301,2049.703905
2018,GFDLCM3-rcp85,304,377.689964
2018,GFDLCM3-rcp85,305,18.563915
2018,GFDLCM3-rcp85,361,39.998745
2018,GFDLCM3-rcp85,704,19.475418
2018,GFDLCM3-rcp85,709,143.195629
2018,GFDLCM3-rcp85,722,33.841407
2018,GFDLCM3-rcp85,911,4736.182858
2018,GFDLCM3-rcp85,912,1135.719229
2018,GFDLCM3-rcp85,922,1098.36923
2018,GFDLCM3-rcp85,923,5506.575174
2018,GFDLCM3-rcp85,932,2102.306147
2018,GFDLCM3-rcp85,941,2795.253332
2018,GFDLCM3-rcp85,943,824.829268
2018,GFDLCM3-rcp85,951,5108.467235
2018,GFDLCM3-rcp85,997,467.630856
2018,GFDLCM3-rcp85,998,365.982238
2018,GFDLCM3-rcp85,999,2033.988986
2018,HadGEM2ES-rcp45,183,3417.779622
2018,HadGEM2ES-rcp45,201,81426.4444
2018,HadGEM2ES-rcp45,202,45.057329
2018,HadGEM2ES-rcp45,221,4639.38115
2018,HadGEM2ES-rcp45,222,648.175496
2018,HadGEM2ES-rcp45,224,586.948189
2018,HadGEM2ES-rcp45,241,73.046263
2018,HadGEM2ES-rcp45,261,502.337842
2018,HadGEM2ES-rcp45,262,389.86203
2018,HadGEM2ES-rcp45,264,377.872315
2018,HadGEM2ES-rcp45,267,625.173044
2018,HadGEM2ES-rcp45,268,72.005217
2018,HadGEM2ES-rcp45,281,49.074073
2018,HadGEM2ES-rcp45,301,2041.916179
2018,HadGEM2ES-rcp45,304,377.689964
2018,HadGEM2ES-rcp45,305,18.563915
2018,HadGEM2ES-rcp45,361,39.998745
2018,HadGEM2ES-rcp45,702,24.222423
2018,HadGEM2ES-rcp45,704,19.475418
2018,HadGEM2ES-rcp45,709,101.139904
2018,HadGEM2ES-rcp45,911,4775.269472
2018,HadGEM2ES-rcp45,912,1073.80212
2018,HadGEM2ES-rcp45,922,1009.619775
2018,HadGEM2ES-rcp45,923,5661.506983
2018,HadGEM2ES-rcp45,932,2170.837739
2018,HadGEM2ES-rcp45,941,2771.350795
2018,HadGEM2ES-rcp45,943,896.527375
2018,HadGEM2ES-rcp45,951,5299.948517
2018,HadGEM2ES-rcp45,997,467.630856
2018,HadGEM2ES-rcp45,998,387.209435
2018,HadGEM2ES-rcp45,999,2329.389995
